ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
561,Königsee-Garsitz,Königsee-Garsitz,Germany,11.1,50.66,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Feustel et al. 1970/71; Feustel and Musil 1977a; Feustel 1979,Excavation,Absolute,,,11190,180,,,13700,380,Bln-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB (atypical),N,N,2D,Y,X,,N,Konigsee_Garsitz_3,,Y,Discontinuous,Left
562,Königsee-Garsitz,Königsee-Garsitz,Germany,11.1,50.66,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Feustel et al. 1970/71; Feustel and Musil 1977a; Feustel 1979,Excavation,Absolute,,,11190,180,,,13700,380,Bln-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB (atypical),N,N,2D,Y,X,,N,Konigsee_Garsitz_4,,Y,Continuous,Right
563,Königsee-Garsitz,Königsee-Garsitz,Germany,11.1,50.66,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Feustel et al. 1970/71; Feustel and Musil 1977a; Feustel 1979,Excavation,Absolute,,,11190,180,,,13700,380,Bln-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB (atypical),N,N,2D,Y,X,,N,Konigsee_Garsitz_6,,Y,Continuous,Left
564,Königsee-Garsitz,Königsee-Garsitz,Germany,11.1,50.66,Whole,Unspecified,Unspecified,Creswellian Point,Feustel et al. 1970/71; Feustel and Musil 1977a; Feustel 1979,Excavation,Absolute,,,11190,180,,,13700,380,Bln-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB (atypical),N,N,2D,Y,X,,N,Konigsee_Garsitz_8,,Y,Continuous,Left
565,Königsee-Garsitz,Königsee-Garsitz,Germany,11.1,50.66,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Feustel et al. 1970/71; Feustel and Musil 1977a; Feustel 1979,Excavation,Absolute,,,11190,180,,,13700,380,Bln-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB (atypical),N,N,2D,Y,X,,N,Konigsee_Garsitz_9,,Y,Continuous,Left
566,Korschenbroich-Neersbroich,Korschenbroich-Neersbroich,Germany,6.51,51.19,Whole,Unspecified,Unspecified,Petersfels Point,Brandt 1982; Thissen 1991,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Korschenbroich_Neersbroich_1,,Y,Continuous,Left
567,Kössern,Kössern,Germany,12.86,51.19,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Geupel 1969; Geupel 1985,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,Y,N,2D,Y,X,,N,Kossern_1,,Y,Continuous,Right
568,Kötzting-Höcherl,Kötzting-Höcherl,Germany,12.88,49.19,Whole,Unspecified,Atzenhofer,Taucha Point,Schönweiß 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Kotzting_Hocherl_1,,Y,Continuous,Right
569,Kötzting-Höcherl,Kötzting-Höcherl,Germany,12.88,49.19,Whole,Unspecified,Atzenhofer,Backed Point (Unspecified),Schönweiß 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Kotzting_Hocherl_2,,Y,Continuous,Right
570,Krampnitz,Krampnitz,Germany,13.12,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Hoffmann 1941; Taute 1963,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Krampnitz_1,,Y,Continuous,Right
571,Krampnitz,Krampnitz,Germany,13.12,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Hoffmann 1941; Taute 1963,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Krampnitz_2,,Y,Continuous,Right
572,Kronach,Kronach,Germany,11.32,50.23,Whole,Unspecified,Unspecified,Ranis Point,Frantzen 1958/59,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Kronach_1,,Y,Continuous,Right
573,Leiferde,Leiferde,Germany,10.48,52.5,Whole,Federmesser,Rissener,Backed Point (Unspecified),Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Leiferde_1,,Y,Continuous,Left
574,Leiferde,Leiferde,Germany,10.48,52.5,Whole,Federmesser,Rissener,Backed Point (Unspecified),Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Leiferde_2,,Y,Continuous,Right
575,Leiferde,Leiferde,Germany,10.48,52.5,Whole,Federmesser,Rissener,Backed Point (Unspecified),Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Leiferde_4,,Y,Continuous,Left
576,Leiferde-Osterheide,Leiferde-Osterheide,Germany,10.59,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Osterheide_1,,Y,Continuous,Right
577,Leiferde-Osterheide,Leiferde-Osterheide,Germany,10.59,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Osterheide_2,,Y,Continuous,Right
578,Leiferde-Osterheide,Leiferde-Osterheide,Germany,10.59,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Osterheide_3,,Y,Continuous,Right
579,Leiferde-Osterheide,Leiferde-Osterheide,Germany,10.59,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Osterheide_5,,Y,Continuous,Left
580,Leiferde-Osterheide,Leiferde-Osterheide,Germany,10.59,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Osterheide_6,,N,Continuous,Right
581,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_1,,Y,Continuous,Left
582,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_10,,Y,Continuous,Right
583,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_11,,Y,Continuous,Left
584,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_12,,Y,Continuous,Left
585,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Appelscha Point,Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_13,,Y,Continuous,Right
586,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Appelscha Point,Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_14,,Y,Continuous,Right
587,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_16,,Y,Continuous,Right
588,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_2,,Y,Continuous,Right
589,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_20,,Y,Continuous,Left
590,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_21,,Y,Continuous,Left
591,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Malaurie Point,Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_5,,Y,Continuous,Left
592,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_6,,Y,Continuous,Left
593,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_8,,Y,Continuous,Left
594,Leiferde-Viehmoor,Leiferde-Viehmoor (1),Germany,10.44,52.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Zeitz 1969; Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY; AB,N,N,2D,Y,X,,N,Leiferde_Viehmoor_9,,Y,Continuous,Right
595,Leiferde-Wohlenberg,Leiferde-Wohlenberg,Germany,10.39,52.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Leiferde_Wohlenberg_1,,Y,Continuous,Left
596,Linum,Linum,Germany,12.94,52.78,Whole,Unspecified,Unspecified,Appelscha Point,Taute 1963,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Linum_2,,Y,Continuous,Left
597,Lixhe,Lixhe,Belgium,5.91,50.7,Whole,Unspecified,Unspecified,Appelscha Point,Cahen and Peuskens 1977-1979,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early-Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Lixhe_2,,Y,Continuous,Left
598,Lixhe,Lixhe,Belgium,5.91,50.7,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Cahen and Peuskens 1977-1979,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early-Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Lixhe_4,,Y,Continuous,Right
599,Lübars,Lübars,Germany,13.5,52.65,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Mey 1960; Taute 1963; Mey 1965/66; Taute 1968,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY,N,N,2D,Y,X,,N,Lubars_1,,Y,Continuous,Left
600,Lübars,Lübars,Germany,13.5,52.65,Whole,Unspecified,Unspecified,Azilian/Federmesser Point,Mey 1960; Taute 1963; Mey 1965/66; Taute 1968,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,LY,N,N,2D,Y,X,,N,Lubars_2,,Y,Continuous,Left
601,Lützetal,Lützetal (Löwenburg-Ziegelacker),France,7.29,47.44,Whole,Unspecified,Unspecified,Ranis Point,Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Lowenburg_Ziegelacker_1,,Y,Continuous,Right
602,Lützetal,Lützetal (Löwenburg-Ziegelacker),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Lowenburg_Ziegelacker_2,,Y,Continuous,Right
603,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_2,,Y,Discontinuous,Left
604,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Azilian/Federmesser Point,Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_3,,Y,Continuous,Left
605,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_5,,Y,Continuous,Right
606,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_6,,Y,Continuous,Left
607,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_7,,Y,Continuous,Right
608,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_8,,Y,Continuous,Right
609,Lützetal,Lützetal (Niederfeld 2),France,7.29,47.44,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Jagher-Mundwiler and Jagher-Mundwiler 1977; Jagher and Jagher 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Lutzetal_Niederfeld_2_9,,Y,Discontinuous,Right
610,Maden,Maden,Germany,9.36,51.16,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Bergmann 1960; Bergmann 1964,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Maden_1,,Y,Continuous,Left
611,Maden,Maden,Germany,9.36,51.16,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Bergmann 1960; Bergmann 1964,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Maden_2,,Y,Continuous,Left
612,Maden,Maden,Germany,9.36,51.16,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Bergmann 1960; Bergmann 1964,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Maden_3,,Y,Continuous,Right
613,Makkinga,Makkinga,The Netherlands,6.25,52.99,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Makkinga_1,,Y,Continuous,Left
614,Makkinga,Makkinga,The Netherlands,6.25,52.99,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Makkinga_2,,Y,Continuous,Left
615,Malitschkendorf,Malitschkendorf,Germany,13.25,51.7,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Taute 1963; Geupel 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Malitschkendorf_1,,Y,Continuous,Left
616,Malitschkendorf,Malitschkendorf,Germany,13.25,51.7,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Taute 1963; Geupel 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Malitschkendorf_10,,Y,Continuous,Right
617,Malitschkendorf,Malitschkendorf (105 - C1),Germany,13.35,51.72,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Geupel 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,CB; AB; SW,N,N,2D,Y,X,,N,Malitschkendorf_105_C1_2,,Y,Continuous,Right
618,Malitschkendorf,Malitschkendorf (105 - C1),Germany,13.35,51.72,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Geupel 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,CB; AB; SW,N,N,2D,Y,X,,N,Malitschkendorf_105_C1_3,,Y,Continuous,Right
619,Malitschkendorf,Malitschkendorf (105 - C1),Germany,13.35,51.72,Whole,Unspecified,Unspecified,Appelscha Point,Geupel 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,CB; AB; SW,N,N,2D,Y,X,,N,Malitschkendorf_105_C1_4,,Y,Continuous,Left
