ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
11,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_7,,Y,Continuous,Left
12,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Petersfels Point,Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_8,,Y,Continuous,Left
13,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_9,,Y,Continuous,Left
14,Abri des Camps-Volants,Abri des Camps-Volants,France,5.98,47.01,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Thievenin 1982a,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Camps_Volants_2,,Y,Continuous,Left
15,Abri des Camps-Volants,Abri des Camps-Volants,France,5.98,47.01,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Thievenin 1982a,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Camps_Volants_3,,Y,Continuous,Both
16,Abri des Camps-Volants,Abri des Camps-Volants,France,5.98,47.01,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Thievenin 1982a,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Camps_Volants_4,,Y,Continuous,Left
17,Abri des Camps-Volants,Abri des Camps-Volants,France,5.98,47.01,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Thievenin 1982a,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Camps_Volants_7,,Y,Continuous,Right
18,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (R),France,6.77,47.28,Whole,Unspecified,Unspecified,Creswellian Point,Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_R_1,,Y,Continuous,Right
19,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (S),France,7.2,47.46,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Absolute,,,11760,120,Lov-1141,,11080,100,Lov-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_S_1,,Y,Continuous,Left
20,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (S),France,7.2,47.46,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Absolute,,,11760,120,Lov-1141,,11080,100,Lov-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_S_2,,Y,Continuous,Left
21,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (S),France,7.2,47.46,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Absolute,,,11760,120,Lov-1141,,11080,100,Lov-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_S_3,,Y,Continuous,Left
22,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (S),France,7.2,47.46,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Absolute,,,11760,120,Lov-1141,,11080,100,Lov-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_S_4,,Y,Continuous,Right
23,Abri Mannlefelsen / Oberlarg,Abri Mannlefelsen / Oberlarg (S),France,7.2,47.46,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1980; Thevenin 1982a; Thevenin 1982b; Le Tensorer 1985; Straus 1985; Thevenin 1989; David and Thevenin 1989,Excavation,Absolute,,,11760,120,Lov-1141,,11080,100,Lov-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Mannlefels_S_5,,Y,Continuous,Right
24,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_10,,Y,Continuous,Left
25,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_15,,Y,Continuous,Left
26,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_16,,Y,Continuous,Left
